Parent_Id,Mother_Name,Father_Name,Email_Id,Phone
1000,Amarjaa,Ansh,Amarjaa@gmail.com,9653942482
1001,Amata,Arhaan,Amata@gmail.com,8430097210
1002,Ambar,Arin,Ambar@gmail.com,9835656479
1003,Amberlie,Arjun,Amberlie@gmail.com,6730084816
1004,Amirthini,Arnav,Amirthini@gmail.com,8452206383
1005,Amisha,Aryaman,Amisha@gmail.com,8936152281
1006,Amoli,Aryan,Amoli@gmail.com,9051227706
1007,Amulya,Atharv,Amulya@gmail.com,6837588359
1008,Amutha,Atharva,Amutha@gmail.com,7249176641
1009,Anaka,Avi,Anaka@gmail.com,7222714524
1010,Anala,Avyaan,Anala@gmail.com,7458364532
1011,Anandita,Ayaan,Anandita@gmail.com,9343798243
1012,Anbarasi,Ayush,Anbarasi@gmail.com,6516282363
1013,Anganaa,Ayushman,Anganaa@gmail.com,9686479049
1014,Angayarkanni,Azaan,Angayarkanni@gmail.com,9679751685
1015,Angee,Azad,Angee@gmail.com,6469989592
1016,Anila,Bachittar,Anila@gmail.com,7423849633
1017,Anjali,Bahadurjit,Anjali@gmail.com,8079017079
1018,Anju,Bakhshi,Anju@gmail.com,6373422836
1019,Anjuli,Balendra,Anjuli@gmail.com,8969472280
1020,Anuka,Balhaar,Anuka@gmail.com,9158748788
1021,Anupa,Baljiwan,Anupa@gmail.com,9603997595
1022,Anupriyaa,Balvan,Anupriyaa@gmail.com,8397621568
1023,Anura,Balveer,Anura@gmail.com,7596770634
1024,Anuradha,Banjeet,Anuradha@gmail.com,7056815979
1025,Anusha,Bhaavik,Anusha@gmail.com,8748137727
1026,Anusheela,Bhavin,Anusheela@gmail.com,6617871343
1027,Apsara,Brijesh,Apsara@gmail.com,9325368917
1028,Aradhana,Chaitanya,Aradhana@gmail.com,8992642351
1029,Arivazhagi,Chakradev,Arivazhagi@gmail.com,6554029408
1030,Arpana,Chakradhar,Arpana@gmail.com,7189098250
1031,Artha,Champak,Artha@gmail.com,9687350165
1032,Arvindaa,Chanakya,Arvindaa@gmail.com,8104995579
1033,Asmee,Chandran,Asmee@gmail.com,9512229178
1034,Azha,Chandresh,Azha@gmail.com,8239799008
1035,Bakul,Charan,Bakul@gmail.com,9884290083
1036,Banhi,Chatresh,Banhi@gmail.com,7425307932
1037,Banita,Chatura,Banita@gmail.com,9916662559
